IDBox;SumViability;NbSeed;PropViability;SumSwell;PropSwell;SumRad;PropRad;SumCot;PropCot;IDPod;Plant;Zone;Zone0;UniqueQuadrat;PosQuadrat;Plan;UniqueGeno;Block;Plate;NbSeedminusNA;propViabilityNA;TotalNbPods;time_flo;Dormancy;NumSeedPlant
147;6;6;1;6;1;6;1;6;1;142;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3;6;1;13;21.5;0.166666666666667;54
148;6;6;1;6;1;6;1;6;1;143;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3;6;1;13;21.5;0;54
149;2;4;0.5;4;1;4;1;3;0.75;144;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3;4;0.5;13;21.5;0;54
150;5;5;1;5;1;5;1;5;1;145;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3;5;1;13;21.5;0;54
151;3;3;1;3;1;3;1;3;1;146;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3;3;1;13;21.5;0;54
152;1;1;1;1;1;1;1;1;1;147;F89-13-156-p2_H5_B_B5;NA;1;B;B5;interpop;Corse_H5;1;3;1;1;3;31.5;0;10
153;5;6;0.833333333333333;6;1;6;1;6;1;148;F89-13-156-p2_H5_B_B5;NA;1;B;B5;interpop;Corse_H5;1;3;6;0.833333333333333;3;31.5;0;10
154;0;3;0;3;1;3;1;3;1;149;F89-13-156-p2_H5_B_B5;NA;1;B;B5;interpop;Corse_H5;1;3;3;0;3;31.5;0.333333333333333;10
155;1;5;0.2;5;1;5;1;5;1;150;L1125_Na657_H8_B_C1;NA;1;B;C1;interpop;Narbonne_H8;1;3;5;0.2;4;15;0;14
156;5;6;0.833333333333333;6;1;6;1;6;1;151;L1125_Na657_H8_B_C1;NA;1;B;C1;interpop;Narbonne_H8;1;3;6;0.833333333333333;4;15;0;14
157;0;3;0;3;1;3;1;2;0.666666666666667;152;L1125_Na657_H8_B_C1;NA;1;B;C1;interpop;Narbonne_H8;1;3;3;0;4;15;0;14
158;3;4;0.75;4;1;4;1;4;1;153;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3;4;0.75;7;18;0.25;39
159;2;3;0.666666666666667;3;1;3;1;3;1;153;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3;3;0.666666666666667;7;18;0;39
160;4;4;1;4;1;4;1;4;1;154;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3;4;1;7;18;0;39
161;1;3;0.333333333333333;3;1;2;0.666666666666667;1;0.333333333333333;154;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3;3;0.333333333333333;7;18;0;39
162;4;4;1;4;1;4;1;4;1;155;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3;4;1;7;18;0.25;39
163;0;4;0;4;1;4;1;4;1;155;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3;0;NA;7;18;0;39
164;0;4;0;4;1;4;1;4;1;156;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3;4;0;7;18;0;39
165;0;4;0;4;1;4;1;4;1;156;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3;0;NA;7;18;0;39
166;0;4;0;4;1;4;1;4;1;157;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3;0;NA;7;18;0;39
167;3;3;1;3;1;3;1;3;1;157;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3;3;1;7;18;0;39
168;0;2;0;2;1;1;0.5;1;0.5;158;L1130_Na1028_H1_B_C2;NA;1;B;C2;interpop;Narbonne_H1;1;3;1;0;7;18;0;39
169;2;4;0.5;4;1;4;1;4;1;159;F89-13-42-b2_H4_2013_B_C3;NA;1;B;C3;interpop;Corse_H4;1;3;4;0.5;9;14.5;0.25;28
170;3;4;0.75;4;1;4;1;4;1;159;F89-13-42-b2_H4_2013_B_C3;NA;1;B;C3;interpop;Corse_H4;1;3;4;0.75;9;14.5;0;28
171;2;4;0.5;4;1;4;1;4;1;160;F89-13-42-b2_H4_2013_B_C3;NA;1;B;C3;interpop;Corse_H4;1;3;4;0.5;9;14.5;0;28
172;3;4;0.75;4;1;4;1;4;1;160;F89-13-42-b2_H4_2013_B_C3;NA;1;B;C3;interpop;Corse_H4;1;3;4;0.75;9;14.5;0;28
173;5;6;0.833333333333333;6;1;6;1;6;1;161;F89-13-42-b2_H4_2013_B_C3;NA;1;B;C3;interpop;Corse_H4;1;3;6;0.833333333333333;9;14.5;0.166666666666667;28
174;4;6;0.666666666666667;6;1;6;1;6;1;162;F89-13-42-b2_H4_2013_B_C3;NA;1;B;C3;interpop;Corse_H4;1;3;6;0.666666666666667;9;14.5;0;28
175;2;4;0.5;4;1;4;1;4;1;163;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;3;4;0.5;6;21.5;0.5;30
176;3;3;1;3;1;3;1;3;1;163;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;3;3;1;6;21.5;0.333333333333333;30
177;1;4;0.25;4;1;4;1;4;1;164;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;3;4;0.25;6;21.5;0;30
178;1;3;0.333333333333333;3;1;2;0.666666666666667;3;1;164;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;3;3;0.333333333333333;6;21.5;0;30
179;3;4;0.75;4;1;4;1;4;1;165;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;3;4;0.75;6;21.5;0.25;30
180;2;3;0.666666666666667;3;1;3;1;3;1;165;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;3;3;0.666666666666667;6;21.5;0;30
181;2;4;0.5;4;1;3;0.75;2;0.5;166;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;4;4;0.5;6;21.5;0.25;30
182;4;5;0.8;5;1;5;1;5;1;167;L1109_Na314_H5_B_C4;NA;1;B;C4;interpop;Narbonne_H5;1;4;5;0.8;6;21.5;0.2;30
183;3;4;0.75;4;1;4;1;1;0.25;168;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.75;42;14.5;0;219
184;3;3;1;3;1;3;1;3;1;168;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;3;1;42;14.5;0;219
185;5;6;0.833333333333333;6;1;6;1;5;0.833333333333333;169;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;6;0.833333333333333;42;14.5;0;219
186;4;4;1;4;1;4;1;4;1;170;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;1;42;14.5;0;219
187;2;3;0.666666666666667;3;1;3;1;3;1;170;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;3;0.666666666666667;42;14.5;0;219
188;4;6;0.666666666666667;6;1;6;1;6;1;171;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;6;0.666666666666667;42;14.5;0;219
189;4;4;1;4;1;4;1;4;1;172;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;1;42;14.5;0;219
190;3;4;0.75;4;1;4;1;4;1;172;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.75;42;14.5;0;219
191;3;4;0.75;4;1;4;1;4;1;173;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.75;42;14.5;0;219
192;4;4;1;4;1;4;1;4;1;173;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;1;42;14.5;0;219
193;3;6;0.5;6;1;6;1;4;0.666666666666667;174;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;6;0.5;42;14.5;0.333333333333333;219
194;2;4;0.5;4;1;4;1;4;1;175;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.5;42;14.5;0;219
195;2;4;0.5;4;1;4;1;4;1;175;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.5;42;14.5;0;219
196;3;4;0.75;4;1;4;1;4;1;176;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.75;42;14.5;0.25;219
197;3;4;0.75;4;1;4;1;4;1;176;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.75;42;14.5;0;219
198;3;6;0.5;6;1;6;1;5;0.833333333333333;177;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;6;0.5;42;14.5;0.5;219
199;4;4;1;4;1;4;1;4;1;178;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;1;42;14.5;0.25;219
200;3;3;1;3;1;3;1;3;1;178;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;3;1;42;14.5;0;219
201;4;4;1;4;1;4;1;4;1;179;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;1;42;14.5;0;219
202;3;4;0.75;4;1;4;1;3;0.75;179;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.75;42;14.5;0;219
203;3;4;0.75;4;1;3;0.75;4;1;180;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.75;42;14.5;0.25;219
204;3;3;1;3;1;3;1;3;1;180;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;3;1;42;14.5;0;219
205;3;4;0.75;4;1;4;1;4;1;181;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.75;42;14.5;0.25;219
206;4;4;1;4;1;4;1;4;1;181;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;1;42;14.5;0.25;219
207;6;6;1;6;1;6;1;6;1;182;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;6;1;42;14.5;0.166666666666667;219
208;2;4;0.5;4;1;4;1;4;1;183;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.5;42;14.5;0;219
209;3;3;1;3;1;3;1;3;1;183;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;3;1;42;14.5;0.333333333333333;219
210;3;4;0.75;4;1;4;1;4;1;184;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.75;42;14.5;0;219
211;2;3;0.666666666666667;3;1;3;1;3;1;184;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;3;0.666666666666667;42;14.5;0;219
212;2;4;0.5;4;1;3;0.75;3;0.75;185;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.5;42;14.5;0;219
213;3;4;0.75;4;1;4;1;4;1;185;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.75;42;14.5;0.25;219
214;3;5;0.6;5;1;3;0.6;5;1;186;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;5;0.6;42;14.5;0;219
215;0;4;0;4;1;3;0.75;3;0.75;187;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0;42;14.5;0;219
216;1;3;0.333333333333333;3;1;2;0.666666666666667;2;0.666666666666667;187;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;3;0.333333333333333;42;14.5;0.333333333333333;219
217;1;4;0.25;4;1;4;1;3;0.75;188;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.25;42;14.5;0.25;219
218;2;4;0.5;4;1;3;0.75;3;0.75;188;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.5;42;14.5;0;219
219;2;4;0.5;4;1;4;1;4;1;189;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.5;42;14.5;0.25;219
220;0;3;0;3;1;3;1;3;1;189;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;3;0;42;14.5;0;219
221;0;6;0;6;1;6;1;5;0.833333333333333;190;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;2;0;42;14.5;0;219
222;4;4;1;4;1;4;1;4;1;191;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;1;42;14.5;0.5;219
223;4;4;1;4;1;4;1;4;1;191;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;1;42;14.5;0.25;219
224;3;6;0.5;6;1;6;1;5;0.833333333333333;192;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;6;0.5;42;14.5;0;219
225;5;5;1;5;1;5;1;5;1;193;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;5;1;42;14.5;0.2;219
226;2;4;0.5;4;1;4;1;3;0.75;194;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.5;42;14.5;0.25;219
227;4;4;1;4;1;4;1;4;1;194;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;1;42;14.5;0.25;219
228;2;4;0.5;4;1;4;1;4;1;195;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0.5;42;14.5;0;219
229;1;3;0.333333333333333;3;1;3;1;3;1;195;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;3;0.333333333333333;42;14.5;0;219
230;0;1;0;1;1;1;1;1;1;196;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;1;0;42;14.5;0;219
231;0;4;0;4;1;4;1;4;1;197;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;4;0;42;14.5;0;219
232;1;3;0.333333333333333;3;1;2;0.666666666666667;3;1;197;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;3;0.333333333333333;42;14.5;0;219
233;3;5;0.6;5;1;4;0.8;4;0.8;198;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;5;0.6;42;14.5;0;219
234;4;5;0.8;5;1;5;1;5;1;199;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;5;0.8;42;14.5;0;219
235;1;5;0.2;5;1;5;1;5;1;200;L1130_Na1028_H1_B_C5;NA;1;B;C5;interpop;Narbonne_H1;1;4;5;0.2;42;14.5;0.2;219
236;1;4;0.25;4;1;4;1;4;1;201;F89-13-155-p2_H1_B_CC1;NA;1;B;CC1;interpop;Corse_H1;1;4;4;0.25;3;21.5;0;11
237;4;4;1;4;1;4;1;4;1;201;F89-13-155-p2_H1_B_CC1;NA;1;B;CC1;interpop;Corse_H1;1;4;4;1;3;21.5;0.5;11
238;1;3;0.333333333333333;3;1;3;1;3;1;203;F89-13-155-p2_H1_B_CC1;NA;1;B;CC1;interpop;Corse_H1;1;4;3;0.333333333333333;3;21.5;0.333333333333333;11
239;2;4;0.5;4;1;3;0.75;4;1;204;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;4;4;0.5;9;18;0.25;41
240;3;3;1;3;1;3;1;3;1;204;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;4;3;1;9;18;0.666666666666667;41
241;3;4;0.75;4;1;4;1;4;1;205;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5;4;0.75;9;18;0.25;41
242;2;3;0.666666666666667;3;1;3;1;3;1;205;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5;3;0.666666666666667;9;18;0;41
243;3;4;0.75;4;1;4;1;3;0.75;206;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5;4;0.75;9;18;0;41
244;3;3;1;3;1;3;1;3;1;206;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5;3;1;9;18;0;41
245;6;6;1;6;1;6;1;6;1;207;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5;6;1;9;18;0;41
246;5;5;1;5;1;5;1;5;1;208;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5;5;1;9;18;0;41
247;3;4;0.75;4;1;3;0.75;3;0.75;209;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5;4;0.75;9;18;0.25;41
248;4;5;0.8;5;1;5;1;4;0.8;210;L1107_Na234_H2_B_CC3;NA;1;B;CC3;interpop;Narbonne_H2;1;5;5;0.8;9;18;0.2;41
249;3;5;0.6;5;1;5;1;4;0.8;211;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.75;100;NA;0.2;294
250;5;6;0.833333333333333;6;1;6;1;6;1;212;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;6;0.833333333333333;100;NA;0.166666666666667;294
251;4;4;1;4;1;4;1;4;1;213;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;1;100;NA;0;294
252;2;3;0.666666666666667;3;1;3;1;3;1;213;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;3;0.666666666666667;100;NA;0.666666666666667;294
253;4;4;1;4;1;4;1;4;1;214;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;1;100;NA;0.25;294
254;3;3;1;3;1;3;1;3;1;214;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;3;1;100;NA;0;294
255;2;4;0.5;4;1;4;1;4;1;215;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.5;100;NA;0;294
256;3;3;1;3;1;3;1;3;1;215;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;3;1;100;NA;0;294
257;4;5;0.8;5;1;5;1;5;1;216;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;5;0.8;100;NA;0.2;294
258;4;4;1;4;1;4;1;4;1;217;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;1;100;NA;0;294
259;2;4;0.5;3;0.75;3;0.75;3;0.75;218;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.5;100;NA;0;294
260;2;3;0.666666666666667;3;1;2;0.666666666666667;2;0.666666666666667;218;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;3;0.666666666666667;100;NA;0.333333333333333;294
261;4;4;1;4;1;4;1;4;1;219;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;1;100;NA;0;294
262;2;3;0.666666666666667;3;1;3;1;3;1;219;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;3;0.666666666666667;100;NA;0;294
263;4;4;1;4;1;4;1;4;1;220;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;1;100;NA;0.5;294
264;2;3;0.666666666666667;3;1;3;1;2;0.666666666666667;220;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;3;0.666666666666667;100;NA;0.333333333333333;294
265;4;5;0.8;5;1;5;1;5;1;221;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;5;0.8;100;NA;0.2;294
266;1;3;0.333333333333333;3;1;3;1;3;1;222;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;3;0.333333333333333;100;NA;0.333333333333333;294
267;3;4;0.75;4;1;4;1;3;0.75;223;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.75;100;NA;0.25;294
268;3;3;1;3;1;3;1;3;1;223;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;3;1;100;NA;0;294
269;3;4;0.75;4;1;4;1;4;1;224;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.75;100;NA;0;294
270;2;4;0.5;4;1;4;1;4;1;224;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.5;100;NA;0.25;294
271;4;4;1;4;1;4;1;4;1;225;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;1;100;NA;0.25;294
272;4;4;1;4;1;4;1;4;1;225;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;1;100;NA;0;294
273;4;6;0.666666666666667;6;1;5;0.833333333333333;5;0.833333333333333;226;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;6;0.666666666666667;100;NA;0;294
274;5;5;1;5;1;5;1;5;1;227;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;5;1;100;NA;0;294
275;4;4;1;4;1;4;1;4;1;227;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;1;100;NA;0;294
276;4;5;0.8;5;1;5;1;5;1;228;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;5;0.8;100;NA;0;294
277;5;6;0.833333333333333;6;1;6;1;5;0.833333333333333;229;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;6;0.833333333333333;100;NA;0;294
278;3;4;0.75;4;1;4;1;4;1;230;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.75;100;NA;0.25;294
279;3;4;0.75;4;1;4;1;4;1;231;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.75;100;NA;0;294
280;1;1;1;1;1;1;1;1;1;232;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;1;1;100;NA;0;294
281;6;6;1;6;1;6;1;6;1;233;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;6;1;100;NA;0;294
282;4;4;1;4;1;4;1;4;1;234;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;1;100;NA;0;294
283;0;2;0;2;1;0;0;0;0;235;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;2;0;100;NA;0;294
284;4;4;1;4;1;4;1;4;1;236;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;1;100;NA;0.25;294
285;3;3;1;3;1;3;1;2;0.666666666666667;236;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;3;1;100;NA;0;294
286;5;5;1;5;1;5;1;5;1;237;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;5;1;100;NA;0.2;294
287;2;4;0.5;4;1;4;1;4;1;238;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.5;100;NA;0;294
288;4;4;1;4;1;4;1;4;1;239;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;1;100;NA;0;294
289;5;6;0.833333333333333;6;1;6;1;6;1;240;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;6;0.833333333333333;100;NA;0;294
290;4;4;1;4;1;4;1;4;1;241;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;1;100;NA;0.25;294
291;1;3;0.333333333333333;3;1;3;1;3;1;241;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;3;0.333333333333333;100;NA;0;294
292;2;4;0.5;4;1;4;1;3;0.75;242;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.5;100;NA;0.25;294
293;3;4;0.75;4;1;4;1;4;1;242;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.75;100;NA;0.5;294
294;4;5;0.8;5;1;4;0.8;4;0.8;243;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;5;0.8;100;NA;0;294
295;2;4;0.5;4;1;4;1;4;1;244;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.5;100;NA;0;294
296;0;3;0;3;1;3;1;3;1;244;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;3;0;100;NA;0.333333333333333;294
297;3;4;0.75;4;1;4;1;4;1;245;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.75;100;NA;0.5;294
298;5;6;0.833333333333333;6;1;6;1;6;1;246;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;6;0.833333333333333;100;NA;0.166666666666667;294
299;2;4;0.5;4;1;4;1;4;1;247;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;4;0.5;100;NA;0;294
300;2;2;1;2;1;2;1;2;1;248;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;5;2;1;100;NA;0.5;294
301;4;4;1;4;1;4;1;4;1;250;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6;4;1;100;NA;0.25;294
302;3;4;0.75;4;1;4;1;4;1;250;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6;4;0.75;100;NA;0;294
303;4;6;0.666666666666667;6;1;5;0.833333333333333;5;0.833333333333333;251;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6;6;0.666666666666667;100;NA;0;294
304;1;3;0.333333333333333;3;1;1;0.333333333333333;1;0.333333333333333;252;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6;3;0.333333333333333;100;NA;0.333333333333333;294
305;3;4;0.75;4;1;4;1;3;0.75;253;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6;4;0.75;100;NA;0.25;294
306;2;2;1;2;1;2;1;2;1;254;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6;2;1;100;NA;0.5;294
307;5;5;1;5;1;5;1;5;1;255;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6;5;1;100;NA;0;294
308;0;1;0;1;1;1;1;0;0;256;F89-13-101-r2_H1_B_D2;NA;1;B;D2;interpop;Corse_H1;1;6;1;0;100;NA;0;294
