IDBox;Plant;Zone;Plan;UniqueQuadrat;UniqueGeno;n
860;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;5
861;L1105_Na21_H2_N_E5;NA;interpop;N;Narbonne_H2;4
862;Inconnu?_N_F0;NA;interpop;N;NA;2
863;L1119_Na545_H50_N_F3;NA;interpop;N;Narbonne_H50;3
864;L1123_Na632_H8_P_B2;NA;interpop;P;Narbonne_H8;6
865;L1123_Na632_H8_P_B2;NA;interpop;P;Narbonne_H8;2
866;L1090_Na136_H1_P_C1;NA;interpop;P;Narbonne_H1;6
867;L1090_Na136_H1_P_C1;NA;interpop;P;Narbonne_H1;7
868;L1090_Na136_H1_P_C1;NA;interpop;P;Narbonne_H1;7
869;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;5
870;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;4
871;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;5
872;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;5
873;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;7
874;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;7
875;L1105_Na21_H2_P_CC3;NA;interpop;P;Narbonne_H2;5
876;F89-13-156-p2_H5_P_E2;NA;interpop;P;Corse_H5;7
877;F89-13-156-p2_H5_P_E2;NA;interpop;P;Corse_H5;7
878;F89-13-156-p2_H5_P_E2;NA;interpop;P;Corse_H5;1
879;F89-13-156-p2_H5_P_E2;NA;interpop;P;Corse_H5;4
880;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
881;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
882;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;6
883;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
884;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
885;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;4
886;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
887;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
888;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;5
889;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
890;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;7
891;L1107_Na234_H2_P_E4;NA;interpop;P;Narbonne_H2;6
892;F89-13-155-p2_H1_P_EE1;NA;interpop;P;Corse_H1;8
893;F89-13-155-p2_H1_P_EE1;NA;interpop;P;Corse_H1;8
894;L1090_Na136_H1_B_E3;NA;interpop;B;Narbonne_H1;6
895;L1090_Na136_H1_B_E5;NA;interpop;B;Narbonne_H1;7
896;L1090_Na136_H1_B_E5;NA;interpop;B;Narbonne_H1;7
897;L1090_Na136_H1_B_E5;NA;interpop;B;Narbonne_H1;6
898;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
899;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
900;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
901;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
902;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;8
903;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;8
904;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;8
905;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;8
906;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
907;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;7
908;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;2
909;L1096b_Na156_H4_B_E6;NA;interpop;B;Narbonne_H4;3
910;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;7
911;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;7
912;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;7
913;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;7
914;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;2
915;L1109_Na314_H5_B_EE1;NA;interpop;B;Narbonne_H5;4
916;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;8
917;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;8
918;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;8
919;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;8
920;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;7
921;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;7
922;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;9
923;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;9
924;ESP-163-2009-08_H2_B_F3;NA;interpop;B;Espagne_H2;9
