IDBox;SumViability;NbSeed;PropViability;SumSwell;PropSwell;SumRad;PropRad;SumCot;PropCot;IDPod;Plant;Zone;Zone0;UniqueQuadrat;PosQuadrat;Plan;UniqueGeno;Block;Plate
53;0;2;0;2;1;1;0.5;0;0;54;L1096b_Na156_H4 _3_12_F2;3;3;Z3Q12;F2;Intrapop;Narbonne_H4;1;1
54;2;5;0.4;5;1;4;0.8;2;0.4;55;L1096b_Na156_H4 _3_12_F2;3;3;Z3Q12;F2;Intrapop;Narbonne_H4;1;1
55;0;4;0;4;1;3;0.75;2;0.5;56;L1096b_Na156_H4 _3_12_F2;3;3;Z3Q12;F2;Intrapop;Narbonne_H4;1;1
56;0;2;0;2;1;2;1;0;0;57;L1096b_Na156_H4 _3_12_F2;3;3;Z3Q12;F2;Intrapop;Narbonne_H4;1;1
57;2;4;0.5;4;1;4;1;4;1;59;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;1
58;0;3;0;3;1;3;1;1;0.333333333333333;59;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;1
59;5;6;0.833333333333333;6;1;6;1;6;1;60;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;1
60;1;4;0.25;4;1;3;0.75;4;1;61;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;1
61;2;3;0.666666666666667;3;1;3;1;3;1;61;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2
62;4;4;1;4;1;4;1;4;1;62;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2
63;2;4;0.5;4;1;4;1;4;1;62;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2
64;4;5;0.8;5;1;5;1;5;1;63;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2
65;4;4;1;4;1;4;1;4;1;64;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2
66;2;3;0.666666666666667;3;1;3;1;3;1;64;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2
67;2;4;0.5;4;1;4;1;4;1;65;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2
68;2;3;0.666666666666667;3;1;3;1;3;1;66;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2
69;2;2;1;2;1;2;1;2;1;68;L1125_Na657_H8 _3_12_F3;3;3;Z3Q12;F3;Intrapop;Narbonne_H8;1;2
70;6;6;1;6;1;6;1;5;0.833333333333333;69;L1123_Na632_H8 _8_4_A5;8;8;Z8Q4;A5;Intrapop;Narbonne_H8;1;2
71;5;5;1;5;1;5;1;5;1;70;L1090_Na136_H1 _8_4_B1;8;8;Z8Q4;B1;Intrapop;Narbonne_H1;1;2
72;3;5;0.6;5;1;4;0.8;5;1;71;L1090_Na136_H1 _8_4_B1;8;8;Z8Q4;B1;Intrapop;Narbonne_H1;1;2
73;4;4;1;4;1;4;1;4;1;72;L1109_Na314_H5 _8_4_B2;8;8;Z8Q4;B2;Intrapop;Narbonne_H5;1;2
74;2;3;0.666666666666667;3;1;3;1;2;0.666666666666667;72;L1109_Na314_H5 _8_4_B2;8;8;Z8Q4;B2;Intrapop;Narbonne_H5;1;2
75;6;6;1;6;1;6;1;6;1;73;L1109_Na314_H5 _8_4_B2;8;8;Z8Q4;B2;Intrapop;Narbonne_H5;1;2
76;3;4;0.75;4;1;4;1;4;1;74;L1109_Na314_H5 _8_4_B5;8;8;Z8Q4;B5;Intrapop;Narbonne_H5;1;2
77;4;5;0.8;5;1;5;1;5;1;75;L1109_Na314_H5 _8_4_B5;8;8;Z8Q4;B5;Intrapop;Narbonne_H5;1;2
