IDBox;Plant;Zone;Zone0;Plan;Quadrat;UniqueQuadrat;PositionQuad;UniqueGeno;IDPod;Block;Plate;PositionPlate;NbSeed;IDSeed;SwellingDate;Swell;RadicleDate;Rad;CotyledonDate;Cot;Viability;SampleDate;Conta;time_flo;L_max_flo;TotalNbPods;NumSeedPlant;Vgonflement;Vradicule;Vcotyledon
24;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;26;1;1;2;5;1;18/05/2016;1;20/05/2016;1;22/05/2016;1;1;26/05/2016;;9;5.5;10;41;1;2;4
24;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;26;1;1;2;5;2;19/05/2016;1;20/05/2016;1;22/05/2016;1;1;26/05/2016;;9;5.5;10;41;2;1;3
24;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;26;1;1;2;5;3;19/05/2016;1;20/05/2016;1;25/05/2016;1;0;26/05/2016;;9;5.5;10;41;2;1;6
24;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;26;1;1;2;5;4;18/05/2016;1;20/05/2016;1;22/05/2016;1;0;26/05/2016;;9;5.5;10;41;1;2;4
24;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;26;1;1;2;5;5;17/05/2016;1;20/05/2016;1;26/05/2016;1;0;26/05/2016;;9;5.5;10;41;0;3;9
25;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;27;1;1;1;3;1;18/05/2016;1;20/05/2016;1;26/05/2016;1;1;27/05/2016;;9;5.5;10;41;1;2;8
25;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;27;1;1;1;3;2;18/05/2016;1;20/05/2016;1;25/05/2016;1;1;27/05/2016;;9;5.5;10;41;1;2;7
25;L1096b_Na156_H4 _3_12_C2;3;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;27;1;1;1;3;3;18/05/2016;1;20/05/2016;1;26/05/2016;1;1;27/05/2016;;9;5.5;10;41;1;2;8
26;L1105_Na21_H2 _3_12_C3;3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;30;1;1;2;3;1;18/05/2016;1;20/05/2016;1;22/05/2016;1;0;27/05/2016;;5.5;4;8;44;1;2;4
26;L1105_Na21_H2 _3_12_C3;3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;30;1;1;2;3;2;17/05/2016;1;20/05/2016;1;22/05/2016;1;0;27/05/2016;;5.5;4;8;44;0;3;5
26;L1105_Na21_H2 _3_12_C3;3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;30;1;1;2;3;3;17/05/2016;1;22/05/2016;1;26/05/2016;1;0;NA;;5.5;4;8;44;0;5;9
