IDBox;Plant;Zone;Plan;Quadrat;UniqueQuadrat;PositionQuad;UniqueGeno;IDPod;Block;Plate;PositionPlate;NbSeed;IDSeed;Base;SwellingDate;Swell;RadicleDate;Rad;CotyledonDate;Cot;Viability;SampleDate;Conta;time_flo;L_max_flo;TotalNbPods;NumSeedPlant
11;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;15;1;1;1;6;4;17-mai;18-mai;0;20-mai;1;24-mai;1;1;25-mai;;0;5;3;17
11;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;15;1;1;1;6;5;17-mai;18-mai;0;20-mai;1;24-mai;1;1;25-mai;;0;5;3;17
11;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;15;1;1;1;6;6;17-mai;18-mai;0;20-mai;1;;0;1;25-mai;;0;5;3;17
12;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;16;1;1;2;6;1;17-mai;18-mai;0;20-mai;1;25-mai;1;1;25-mai;;0;5;3;17
12;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;16;1;1;2;6;2;17-mai;18-mai;0;20-mai;1;22-mai;1;1;25-mai;;0;5;3;17
12;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;16;1;1;2;6;3;17-mai;18-mai;0;20-mai;1;22-mai;1;0;25-mai;;0;5;3;17
12;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;16;1;1;2;6;4;17-mai;17-mai;1;20-mai;1;24-mai;1;1;25-mai;;0;5;3;17
12;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;16;1;1;2;6;5;17-mai;17-mai;1;20-mai;1;25-mai;1;1;25-mai;;0;5;3;17
12;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;16;1;1;2;6;6;17-mai;18-mai;0;20-mai;1;22-mai;1;1;25-mai;;0;5;3;17
13;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;17;1;1;1;5;1;17-mai;18-mai;0;20-mai;1;22-mai;1;1;25-mai;;0;5;3;17
13;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;17;1;1;1;5;2;17-mai;19-mai;0;20-mai;1;;0;1;25-mai;;0;5;3;17
13;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;17;1;1;1;5;3;17-mai;17-mai;1;20-mai;1;22-mai;1;1;25-mai;;0;5;3;17
13;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;17;1;1;1;5;4;17-mai;18-mai;0;20-mai;1;22-mai;1;1;25-mai;;0;5;3;17
13;269_B_H96 _3_12_A4;3;Intrapop;12;Z3Q12;A4;Narbonne_H96;17;1;1;1;5;5;17-mai;18-mai;0;20-mai;1;22-mai;1;1;25-mai;;0;5;3;17
14;L1109_Na314_H5 _3_12_B3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;18;1;1;2;4;1;17-mai;18-mai;0;20-mai;1;23-mai;1;1;26-mai;;12;3.5;2;9
14;L1109_Na314_H5 _3_12_B3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;18;1;1;2;4;2;17-mai;17-mai;1;20-mai;1;24-mai;1;0;;24-mai;12;3.5;2;9
14;L1109_Na314_H5 _3_12_B3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;18;1;1;2;4;3;17-mai;17-mai;1;20-mai;1;;0;0;;26-mai;12;3.5;2;9
14;L1109_Na314_H5 _3_12_B3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;18;1;1;2;4;4;17-mai;18-mai;0;22-mai;1;22-mai;1;1;26-mai;;12;3.5;2;9
15;L1109_Na314_H5 _3_12_B3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;19;1;1;1;5;1;17-mai;18-mai;0;20-mai;1;22-mai;1;1;26-mai;;12;3.5;2;9
15;L1109_Na314_H5 _3_12_B3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;19;1;1;1;5;2;17-mai;17-mai;1;22-mai;1;26-mai;1;0;26-mai;;12;3.5;2;9
15;L1109_Na314_H5 _3_12_B3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;19;1;1;1;5;3;17-mai;18-mai;0;20-mai;1;24-mai;1;1;26-mai;;12;3.5;2;9
15;L1109_Na314_H5 _3_12_B3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;19;1;1;1;5;4;17-mai;18-mai;0;20-mai;1;24-mai;1;1;26-mai;;12;3.5;2;9
15;L1109_Na314_H5 _3_12_B3;3;Intrapop;12;Z3Q12;B3;Narbonne_H5;19;1;1;1;5;5;17-mai;17-mai;1;18-mai;1;26-mai;1;0;26-mai;;12;3.5;2;9
16;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;2;7;1;17-mai;18-mai;0;20-mai;1;;0;1;25-mai;;9;5.5;10;41
16;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;2;7;2;17-mai;17-mai;1;20-mai;1;22-mai;1;0;25-mai;;9;5.5;10;41
16;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;2;7;3;17-mai;18-mai;0;22-mai;1;23-mai;1;1;25-mai;;9;5.5;10;41
16;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;2;7;4;17-mai;17-mai;1;20-mai;1;24-mai;1;1;25-mai;;9;5.5;10;41
17;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;1;7;1;17-mai;17-mai;1;20-mai;1;24-mai;1;1;25-mai;;9;5.5;10;41
17;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;1;7;2;17-mai;17-mai;1;20-mai;1;22-mai;1;1;25-mai;;9;5.5;10;41
17;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;20;1;1;1;7;3;17-mai;18-mai;0;22-mai;1;;0;0;25-mai;;9;5.5;10;41
18;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;2;7;1;17-mai;17-mai;1;20-mai;1;26-mai;1;1;26-mai;;9;5.5;10;41
18;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;2;7;2;17-mai;17-mai;1;20-mai;1;26-mai;1;1;26-mai;26-mai;9;5.5;10;41
18;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;2;7;3;17-mai;17-mai;1;20-mai;1;26-mai;1;0;26-mai;;9;5.5;10;41
18;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;2;7;4;17-mai;18-mai;0;20-mai;1;24-mai;1;1;26-mai;;9;5.5;10;41
19;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;1;7;1;17-mai;17-mai;1;22-mai;1;23-mai;1;1;25-mai;;9;5.5;10;41
19;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;1;7;2;17-mai;18-mai;0;20-mai;1;24-mai;1;1;25-mai;;9;5.5;10;41
19;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;21;1;1;1;7;3;17-mai;18-mai;0;20-mai;1;22-mai;1;1;25-mai;;9;5.5;10;41
20;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;22;1;1;2;6;1;17-mai;18-mai;0;;0;22-mai;1;0;26-mai;;9;5.5;10;41
20;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;22;1;1;2;6;2;17-mai;17-mai;1;19-mai;1;22-mai;1;1;26-mai;;9;5.5;10;41
20;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;22;1;1;2;6;3;17-mai;17-mai;1;22-mai;1;24-mai;1;0;26-mai;;9;5.5;10;41
